Date,Close,High,Low,Open,Volume,RSI,Stoch,EMA_20,MACD,BB_upper,BB_lower,ATR,OBV,Volume_SMA_20,Log_Returns,Target
2017-08-09,66.2001,66.2366,65.8164,65.9991,22213400,31.6563,34.5626,66.1836,0.3766,68.0477,65.4248,0.8724,-177415000,24833835.0,-0.0044,1
2017-08-10,65.2318,65.9443,65.177,65.6794,24734500,27.9632,1.9546,66.0929,0.2587,68.0998,65.3399,0.8724,-202149500,25057070.0,-0.0147,1
2017-08-11,66.2275,66.4102,65.113,65.4145,21443700,41.2699,38.8535,66.1058,0.2428,68.1009,65.3132,0.922,-180705800,24835850.0,0.0151,1
2017-08-14,67.2232,67.3419,66.6385,66.739,20096600,45.5885,73.5672,66.2122,0.307,68.1251,65.3109,0.9487,-160609200,24750485.0,0.0149,0
2017-08-15,67.2415,67.5813,67.0762,67.5813,19181400,46.7075,74.2074,66.3102,0.3552,68.1551,65.3093,0.9476,-141427800,24387790.0,0.0003,0
2017-08-16,67.6364,68.0497,67.1956,67.3517,18150400,57.0905,85.9278,66.4365,0.4205,68.1834,65.2976,0.8716,-123277400,24174500.0,0.0059,0
2017-08-17,66.4885,67.8385,66.4885,67.5721,22977500,48.2724,46.8375,66.4415,0.3753,68.032,65.318,0.9178,-146254900,23205325.0,-0.0171,1
2017-08-18,66.5712,66.8926,66.0569,66.3691,18761500,51.2393,49.6529,66.4538,0.3421,67.9463,65.3202,0.9103,-127493400,21807545.0,0.0012,0
2017-08-21,66.2589,66.562,65.8456,66.5528,17734800,49.6891,39.0202,66.4353,0.2874,67.8761,65.2931,0.9014,-145228200,21624545.0,-0.0047,0
2017-08-22,67.1864,67.2599,66.4426,66.4426,14343700,58.034,70.6045,66.5068,0.3152,67.7571,65.3536,0.8985,-130884500,21240795.0,0.0139,0
2017-08-23,66.7824,67.1773,66.6079,67.0028,13766500,55.727,56.8454,66.533,0.3012,67.6068,65.4178,0.9013,-144651000,21116510.0,-0.006,0
2017-08-24,66.7548,66.9109,66.1855,66.8007,17098300,52.5275,55.9073,66.5542,0.2846,67.599,65.4181,0.8951,-161749300,20129215.0,-0.0004,0
2017-08-25,66.8742,67.3609,66.562,66.9109,12794300,55.24,59.972,66.5846,0.2778,67.6151,65.4173,0.9104,-148955000,19853595.0,0.0018,1
2017-08-28,66.8834,67.1221,66.6262,67.0946,14569700,52.9194,60.2841,66.6131,0.2701,67.6494,65.4303,0.8558,-134385300,19402075.0,0.0001,1
2017-08-29,67.0854,67.1864,66.1671,66.3507,11478400,56.7016,67.1643,66.6581,0.2771,67.7084,65.4498,0.8803,-122906900,18869380.0,0.003,1
2017-08-30,67.967,68.1507,66.8834,67.0487,16897800,70.9795,93.9537,66.7827,0.3497,67.9308,65.4233,0.8978,-106009100,18389310.0,0.0131,0
2017-08-31,68.665,68.8395,67.7742,67.9854,27652800,69.5906,94.1717,66.962,0.4583,68.2979,65.3319,0.8812,-78356300,18861230.0,0.0102,0
2017-09-01,67.9027,68.6374,67.6272,68.6099,21736200,55.6748,68.7116,67.0516,0.4774,68.4353,65.3456,0.8757,-100092500,18819090.0,-0.0112,0
2017-09-05,67.5997,67.8568,67.0211,67.3517,21556000,52.8551,58.5891,67.1038,0.4627,68.4967,65.4306,0.9026,-121648500,18961605.0,-0.0045,0
2017-09-06,67.4068,67.9946,67.3609,67.7191,16535800,48.1088,52.1468,67.1327,0.4306,68.5377,65.4809,0.8869,-138184300,18686165.0,-0.0029,1
2017-09-07,68.2701,68.5089,67.5905,67.664,17471200,65.3968,80.9813,67.241,0.4693,68.6901,65.5356,0.8692,-120713100,18449055.0,0.0127,0
